isle,site,block,plot,trt,ears,yield,disease 
Antigua,LFAN,B3,19,T220,41,5,TRUE
Antigua,LFAN,B3,20,T202,46,5.26,FALSE
Antigua,LFAN,B3,21,T000,36,2.9,FALSE
Antigua,LFAN,B3,22,T111,43,4.94,TRUE
Antigua,LFAN,B3,23,T113,45,4.43,FALSE
Antigua,LFAN,B3,24,T311,47,5.42,TRUE
Antigua,LFAN,B3,25,T022,34,1.22,TRUE
Antigua,LFAN,B3,26,T111,42,3.72,FALSE
Antigua,LFAN,B3,27,T131,41,3.7,FALSE
Antigua,LFAN,B4,28,T131,46,5.61,TRUE
Antigua,LFAN,B4,29,T111,45,6.02,FALSE
Antigua,LFAN,B4,30,T020,45,3.18,FALSE
Antigua,LFAN,B4,31,T311,47,6.07,FALSE
Antigua,LFAN,B4,32,T002,38,1.48,FALSE
Antigua,LFAN,B4,33,T222,47,5.94,FALSE
Antigua,LFAN,B4,34,T111,42,3.58,TRUE
Antigua,LFAN,B4,35,T200,39,3.95,FALSE
Antigua,LFAN,B4,36,T113,44,3.38,TRUE
Antigua,NSAN,B1,1,T202,25,2.43,TRUE
Antigua,NSAN,B1,2,T111,13,1.28,FALSE
Antigua,NSAN,B1,3,T311,10,0.83,FALSE
Antigua,NSAN,B1,4,T131,24,2.44,TRUE
Antigua,NSAN,B1,5,T022,30,1.3,FALSE
Antigua,NSAN,B1,6,T000,25,1.34,TRUE
Antigua,NSAN,B1,7,T113,25,2.06,TRUE
Antigua,NSAN,B1,8,T220,32,3.02,FALSE
Antigua,NSAN,B1,9,T111,27,2.18,FALSE
Antigua,NSAN,B2,10,T131,26,2.35,TRUE
Antigua,NSAN,B2,11,T002,28,2.15,FALSE
Antigua,NSAN,B2,12,T111,36,3.24,TRUE
Antigua,NSAN,B2,13,T020,34,2.78,TRUE
Antigua,NSAN,B2,14,T222,27,2.91,FALSE
Antigua,NSAN,B2,15,T111,32,3.1,FALSE
Antigua,NSAN,B2,16,T200,28,2.86,TRUE
Antigua,NSAN,B2,17,T113,32,3.33,FALSE
Antigua,NSAN,B2,18,T311,32,3,TRUE
Antigua,NSAN,B3,19,T022,32,2.75,TRUE
Antigua,NSAN,B3,20,T131,36,2.92,FALSE
Antigua,NSAN,B3,21,T000,28,1.7,FALSE
Antigua,NSAN,B3,22,T220,34,3.36,TRUE
Antigua,NSAN,B3,23,T111,30,1.58,FALSE
Antigua,NSAN,B3,24,T202,27,1.98,TRUE
Antigua,NSAN,B3,25,T311,39,2.9,TRUE
Antigua,NSAN,B3,26,T113,26,2.05,FALSE
Antigua,NSAN,B3,27,T111,24,1.4,FALSE
Antigua,NSAN,B4,28,T002,33,1.95,TRUE
Antigua,NSAN,B4,29,T111,29,2.34,FALSE
Antigua,NSAN,B4,30,T200,19,1.55,TRUE
Antigua,NSAN,B4,31,T222,22,1.73,TRUE
Antigua,NSAN,B4,32,T020,30,2.05,FALSE
Antigua,NSAN,B4,33,T131,33,3.44,FALSE
Antigua,NSAN,B4,34,T113,33,2.11,TRUE
Antigua,NSAN,B4,35,T311,35,3.22,FALSE
Antigua,NSAN,B4,36,T111,21,1.6,TRUE
Antigua,ORAN,B1,1,T113,43,5.26,TRUE
Antigua,ORAN,B1,2,T111,44,6.87,FALSE
Antigua,ORAN,B1,3,T202,44,7.78,FALSE
Antigua,ORAN,B1,4,T311,41,6.75,TRUE
Antigua,ORAN,B1,5,T022,44,6.56,FALSE
Antigua,ORAN,B1,6,T131,42,6.47,TRUE
Antigua,ORAN,B1,7,T111,41,6.71,TRUE
Antigua,ORAN,B1,8,T220,41,6.74,FALSE
Antigua,ORAN,B1,9,T000,45,6.92,FALSE
Antigua,ORAN,B2,10,T002,36,3.75,TRUE
Antigua,ORAN,B2,11,T020,35,3.56,FALSE
Antigua,ORAN,B2,12,T113,38,5.45,TRUE
Antigua,ORAN,B2,13,T311,40,7.55,TRUE
Antigua,ORAN,B2,14,T111,40,7.2,FALSE
Antigua,ORAN,B2,15,T222,44,6.48,FALSE
Antigua,ORAN,B2,16,T200,41,7.36,TRUE
Antigua,ORAN,B2,17,T131,41,7.18,FALSE
Antigua,ORAN,B2,18,T111,48,7.53,TRUE
Antigua,ORAN,B3,19,T000,36,5.74,TRUE
Antigua,ORAN,B3,20,T311,44,7.52,FALSE
Antigua,ORAN,B3,21,T220,46,7.87,FALSE
Antigua,ORAN,B3,22,T111,43,6.39,TRUE
Antigua,ORAN,B3,23,T113,46,7.04,FALSE
Antigua,ORAN,B3,24,T111,40,6.48,TRUE
Antigua,ORAN,B3,25,T131,47,7.56,TRUE
Antigua,ORAN,B3,26,T202,46,6.87,FALSE
Antigua,ORAN,B3,27,T022,41,6.12,FALSE
Antigua,ORAN,B4,28,T200,47,7.45,TRUE
Antigua,ORAN,B4,29,T111,45,6.75,FALSE
Antigua,ORAN,B4,30,T131,42,6.41,TRUE
Antigua,ORAN,B4,31,T020,37,5.28,TRUE
Antigua,ORAN,B4,32,T311,35,5.27,FALSE
Antigua,ORAN,B4,33,T002,46,7.28,FALSE
Antigua,ORAN,B4,34,T111,45,7.39,TRUE
Antigua,ORAN,B4,35,T222,43,6.61,FALSE
Antigua,ORAN,B4,36,T113,37,4.75,TRUE
Antigua,OVAN,B1,1,T111,28,2.04,TRUE
Antigua,OVAN,B1,2,T113,35,3.88,FALSE
Antigua,OVAN,B1,3,T311,38,5.53,FALSE
Antigua,OVAN,B1,4,T131,42,6.61,TRUE
Antigua,OVAN,B1,5,T000,31,2.97,FALSE
Antigua,OVAN,B1,6,T111,35,4.47,TRUE
Antigua,OVAN,B1,7,T220,26,4.06,TRUE
Antigua,OVAN,B1,8,T022,37,5.02,FALSE
Antigua,OVAN,B1,9,T202,38,4.56,FALSE
Antigua,OVAN,B2,10,T111,41,3.5,TRUE
Antigua,OVAN,B2,11,T020,37,4.58,FALSE
Antigua,OVAN,B2,12,T131,30,4.42,TRUE
Antigua,OVAN,B2,13,T200,47,6.16,TRUE
Antigua,OVAN,B2,14,T311,45,6.09,FALSE
Antigua,OVAN,B2,15,T113,38,4.94,FALSE
Antigua,OVAN,B2,16,T222,37,5.83,TRUE
Antigua,OVAN,B2,17,T111,37,5.05,FALSE
Antigua,OVAN,B2,18,T002,30,3.9,TRUE
Antigua,OVAN,B3,19,T131,35,3.92,TRUE
Antigua,OVAN,B3,20,T022,42,4.78,FALSE
Antigua,OVAN,B3,21,T111,40,5.26,FALSE
Antigua,OVAN,B3,22,T220,40,5.52,TRUE
Antigua,OVAN,B3,23,T111,42,5.87,FALSE
Antigua,OVAN,B3,24,T311,43,6.19,TRUE
Antigua,OVAN,B3,25,T000,39,5.26,TRUE
Antigua,OVAN,B3,26,T202,30,3.08,FALSE
Antigua,OVAN,B3,27,T113,29,3.14,FALSE
Antigua,OVAN,B4,28,T222,45,4.56,TRUE
Antigua,OVAN,B4,29,T113,38,4.74,FALSE
Antigua,OVAN,B4,30,T311,38,5.32,TRUE
Antigua,OVAN,B4,31,T111,45,5.57,TRUE
Antigua,OVAN,B4,32,T002,26,1.69,FALSE
Antigua,OVAN,B4,33,T020,40,4.57,FALSE
Antigua,OVAN,B4,34,T131,38,6.18,TRUE
Antigua,OVAN,B4,35,T111,48,6.9,FALSE
Antigua,OVAN,B4,36,T200,33,3.93,TRUE
Antigua,TEAN,B1,1,T113,32,1.27,TRUE
Antigua,TEAN,B1,2,T111,29,2.1,TRUE
Antigua,TEAN,B1,3,T022,46,2.37,TRUE
Antigua,TEAN,B1,4,T202,28,2.08,TRUE
Antigua,TEAN,B1,5,T000,31,1.74,FALSE
Antigua,TEAN,B1,6,T131,39,3.16,TRUE
Antigua,TEAN,B1,7,T220,42,4.55,TRUE
Antigua,TEAN,B1,8,T111,36,3.2,FALSE
Antigua,TEAN,B1,9,T311,35,3.69,FALSE
Antigua,TEAN,B2,10,T200,28,1.52,TRUE
Antigua,TEAN,B2,11,T311,30,2.02,FALSE
Antigua,TEAN,B2,12,T222,29,1.97,TRUE
Antigua,TEAN,B2,13,T020,29,1.94,TRUE
Antigua,TEAN,B2,14,T131,30,2.01,FALSE
Antigua,TEAN,B2,15,T111,35,2.18,FALSE
Antigua,TEAN,B2,16,T002,36,3.24,TRUE
Antigua,TEAN,B2,17,T113,39,3.91,FALSE
Antigua,TEAN,B2,18,T111,48,4.2,TRUE
Antigua,TEAN,B3,19,T111,34,2.57,TRUE
Antigua,TEAN,B3,20,T202,37,2.88,FALSE
Antigua,TEAN,B3,21,T220,37,3.45,FALSE
Antigua,TEAN,B3,22,T000,42,2.89,TRUE
Antigua,TEAN,B3,23,T111,38,3.01,FALSE
Antigua,TEAN,B3,24,T113,39,2.87,TRUE
Antigua,TEAN,B3,25,T311,35,3.25,TRUE
Antigua,TEAN,B3,26,T131,41,3.92,FALSE
Antigua,TEAN,B3,27,T022,28,0.88,FALSE
Antigua,TEAN,B4,28,T311,25,1.14,TRUE
Antigua,TEAN,B4,29,T111,43,3.61,FALSE
Antigua,TEAN,B4,30,T113,42,3.05,TRUE
Antigua,TEAN,B4,31,T002,44,3.41,TRUE
Antigua,TEAN,B4,32,T222,48,4.46,FALSE
Antigua,TEAN,B4,33,T200,41,4.36,FALSE
Antigua,TEAN,B4,34,T111,39,3.42,TRUE
Antigua,TEAN,B4,35,T131,28,1.06,FALSE
Antigua,TEAN,B4,36,T020,NA,NA,TRUE
Antigua,WEAN,B1,1,T000,48,4.02,TRUE
Antigua,WEAN,B1,2,T311,47,5.8,FALSE
Antigua,WEAN,B1,3,T202,32,2.16,FALSE
Antigua,WEAN,B1,4,T220,43,5.31,TRUE
Antigua,WEAN,B1,5,T111,42,5.12,FALSE
Antigua,WEAN,B1,6,T131,45,5.98,TRUE
Antigua,WEAN,B1,7,T113,46,5.46,TRUE
Antigua,WEAN,B1,8,T022,43,3.45,FALSE
Antigua,WEAN,B1,9,T111,45,4.96,FALSE
Antigua,WEAN,B2,10,T111,46,4.26,TRUE
Antigua,WEAN,B2,11,T131,48,6.35,FALSE
Antigua,WEAN,B2,12,T020,47,4.28,TRUE
Antigua,WEAN,B2,13,T111,41,4.94,TRUE
Antigua,WEAN,B2,14,T311,38,4.39,FALSE
Antigua,WEAN,B2,15,T002,44,3.92,FALSE
Antigua,WEAN,B2,16,T113,43,5.74,TRUE
Antigua,WEAN,B2,17,T200,46,4.98,FALSE
Antigua,WEAN,B2,18,T222,44,5.4,TRUE
Antigua,WEAN,B3,19,T111,45,6.1,TRUE
Antigua,WEAN,B3,20,T113,45,5.86,FALSE
Antigua,WEAN,B3,21,T022,47,4.59,FALSE
Antigua,WEAN,B3,22,T311,36,4.36,TRUE
Antigua,WEAN,B3,23,T000,41,4.16,FALSE
Antigua,WEAN,B3,24,T111,46,6.58,TRUE
Antigua,WEAN,B3,25,T220,38,5.11,TRUE
Antigua,WEAN,B3,26,T131,48,5.96,FALSE
Antigua,WEAN,B3,27,T202,36,3.45,FALSE
Antigua,WEAN,B4,28,T020,43,5.77,TRUE
Antigua,WEAN,B4,29,T111,46,6.6,FALSE
Antigua,WEAN,B4,30,T200,43,3.88,TRUE
Antigua,WEAN,B4,31,T222,34,4.04,TRUE
Antigua,WEAN,B4,32,T002,32,2.76,FALSE
Antigua,WEAN,B4,33,T311,42,6.31,FALSE
Antigua,WEAN,B4,34,T131,38,5.28,TRUE
Antigua,WEAN,B4,35,T113,44,4.61,FALSE
Antigua,WEAN,B4,36,T111,46,5.65,TRUE
Antigua,WLAN,B1,1,T000,58,2,TRUE
Antigua,WLAN,B1,2,T113,56,2.39,FALSE
Antigua,WLAN,B1,3,T131,52,2.04,FALSE
Antigua,WLAN,B1,4,T202,44,1.64,TRUE
Antigua,WLAN,B1,5,T220,45,1.83,FALSE
Antigua,WLAN,B1,6,T111,47,2.08,TRUE
Antigua,WLAN,B1,7,T022,55,3.13,TRUE
Antigua,WLAN,B1,8,T111,53,1.96,FALSE
Antigua,WLAN,B1,9,T311,43,1.3,FALSE
Antigua,WLAN,B2,10,T311,68,2.16,TRUE
Antigua,WLAN,B2,11,T002,40,1.74,FALSE
Antigua,WLAN,B2,12,T111,58,2.46,TRUE
Antigua,WLAN,B2,13,T200,44,2.17,TRUE
Antigua,WLAN,B2,14,T020,42,2.72,FALSE
Antigua,WLAN,B2,15,T113,55,2.07,FALSE
Antigua,WLAN,B2,16,T111,54,2.87,TRUE
Antigua,WLAN,B2,17,T222,48,2.14,FALSE
Antigua,WLAN,B2,18,T131,38,1.45,TRUE
Antigua,WLAN,B3,19,T311,69,2.05,TRUE
Antigua,WLAN,B3,20,T022,60,2.44,FALSE
Antigua,WLAN,B3,21,T111,50,2.88,FALSE
Antigua,WLAN,B3,22,T000,40,2.28,TRUE
Antigua,WLAN,B3,23,T111,51,3.44,FALSE
Antigua,WLAN,B3,24,T113,54,2.56,TRUE
Antigua,WLAN,B3,25,T202,41,2.41,TRUE
Antigua,WLAN,B3,26,T131,53,3.24,FALSE
Antigua,WLAN,B3,27,T220,51,1.66,FALSE
Antigua,WLAN,B4,28,T200,57,1.76,TRUE
Antigua,WLAN,B4,29,T113,55,2.84,FALSE
Antigua,WLAN,B4,30,T002,39,2.25,TRUE
Antigua,WLAN,B4,31,T131,63,2.73,TRUE
Antigua,WLAN,B4,32,T111,48,3.55,FALSE
Antigua,WLAN,B4,33,T311,51,3.13,FALSE
Antigua,WLAN,B4,34,T020,39,2.41,TRUE
Antigua,WLAN,B4,35,T111,43,3.49,FALSE
Antigua,WLAN,B4,36,T222,56,1.96,TRUE
